dimension,category,correct_n,precision,recall
Timeframe,Habitual,28,0.9333333333333333,0.9333333333333333
Timeframe,Episodic,16,0.8888888888888888,0.8888888888888888
Timeframe,NM,1,1.0,1.0
Source,Primary,20,0.8333333333333334,0.9523809523809523
Source,Parallel,1,1.0,1.0
Source,Supplement,6,1.0,0.8571428571428571
Source,Solo,0,,
Source,Exploration,0,0.0,
Source,NM,16,0.9411764705882353,0.8
Type,ES,2,0.5,1.0
Type,VE,4,1.0,0.6666666666666666
Type,CO,13,0.8125,0.9285714285714286
Type,RE,2,1.0,0.6666666666666666
Type,CR,2,1.0,1.0
Type,PE,3,0.6,0.6
Type,SA,2,0.6666666666666666,0.6666666666666666
Type,SE,6,0.8571428571428571,0.8571428571428571
Type,FS,1,1.0,1.0
Type,RS,0,,
Type,TA,5,1.0,1.0
Type,SR,0,,0.0
Type,N,0,,
Type,OT,0,,
