dimension,post_id,human_code,llm_code
Timeframe,1phvjh0,Habitual,Episodic
Timeframe,1nbs8qa,Episodic,Habitual
Timeframe,1bd6s5w,Episodic,Habitual
Timeframe,1mlwcvb,Habitual,Episodic
Source,16h5sso,Primary,NM
Source,1phvjh0,NM,Primary
Source,1gt8hip,Supplement,Primary
Source,1fmkvff,NM,Primary
Source,1q6oonh,NM,Exploration
Source,1luuowj,NM,Primary
Type,16h5sso,SA,PE
Type,18z0zbv,SE,PE
Type,1nbs8qa,VE,CO
Type,1gt8hip,RE,SA
Type,1ierj88,PE,ES
Type,15b133a,PE,ES
Type,1elvxvy,CO,SE
Type,1d5bps0,SR,CO
Type,1mftzpv,VE,CO
